 seg RAM FD
 loc 0
RAMStart		RAM	FD,0
SetCursor 	Main	$75,$82D6
HideCursor	Main	$75,$82F2
ShowCursor	Main	$75,$82F8
ShieldCursor	Main	$75,$82FE
ObscureCursor	Main	$75,$832E
BitNot		Main	$75,$8334
BitAnd		Main	$75,$833C
BitXor		Main	$75,$8344
BitOr		Main	$75,$834E
BitShift		Main	$75,$8356
BitTst		Main	$75,$836C
BitSet		Main	$75,$837A
BitClr		Main	$75,$8384
Random		Main	$75,$839C
ForeColor 	Main	$75,$83EE
BackColor 	Main	$75,$83F2
ColorBit		Main	$75,$8400
GetMaskTable	Main	$75,$840E
GetPixel		Main	$75,$85D4
StuffHex		Main	$75,$8608
InitGraf		Main	$75,$87A6
OpenPort		Main	$75,$886C
InitPort		Main	$75,$8884
ClosePort 	Main	$75,$8904
SetStdProcs	Main	$75,$891C
LocalToGlobal	Main	$75,$8956
GlobalToLocal	Main	$75,$895E
AddPt		Main	$75,$898A
SubPt		Main	$75,$8992
SetPort		Main	$75,$89B0
GetPort		Main	$75,$89B8
GrafDevice	Main	$75,$89C2
SetPBits		Main	$75,$89C8
BackPat		Main	$75,$89E0
PortSize		Main	$75,$89EE
MovePortTo	Main	$75,$8A0E
SetOrigin 	Main	$75,$8A3A
ClipRect		Main	$75,$8A6E
SetClip		Main	$75,$8A80
SetPt		Main	$75,$8AA0
EqualPt		Main	$75,$8AAA
StdText		Main	$75,$8AB6
TextFace		Main	$75,$8C62
DrawChar		Main	$75,$8C6E
CharWidth 	Main	$75,$8C7C
TextFont		Main	$75,$8C94
TextMode		Main	$75,$8C98
TextSize		Main	$75,$8C9C
SpaceExtra	Main	$75,$8CA2
DrawString	Main	$75,$8CAE
DrawText		Main	$75,$8CC0
StringWidth	Main	$75,$8CD8
TextWidth 	Main	$75,$8CE8
StdTxMeas 	Main	$75,$8D50
MeasureText	Main	$75,$8DF6
GetFontInfo	Main	$75,$8E84
StdLine		Main	$75,$9668
LineTo		Main	$75,$96FA
Line		Main	$75,$9710
MoveTo		Main	$75,$9728
Move		Main	$75,$9734
HidePen		Main	$75,$97C0
ShowPen		Main	$75,$97C4
GetPenState	Main	$75,$97D0
SetPenState	Main	$75,$97D4
GetPen		Main	$75,$97F6
PenSize		Main	$75,$9806
PenMode		Main	$75,$9814
PenPat		Main	$75,$981A
PenNormal 	Main	$75,$982E
StdRect		Main	$75,$9E7E
FillRect		Main	$75,$9F12
FrameRect 	Main	$75,$9F28
PaintRect 	Main	$75,$9F2C
EraseRect 	Main	$75,$9F30
InverRect 	Main	$75,$9F34
SetRect		Main	$75,$A082
EqualRect 	Main	$75,$A090
EmptyRect 	Main	$75,$A0AA
OffsetRect	Main	$75,$A0C4
InsetRect 	Main	$75,$A0D6
UnionRect 	Main	$75,$A184
Pt2Rect		Main	$75,$A1C2
PtInRect		Main	$75,$A1F8
StdRRect		Main	$75,$AC70
FrameRoundRect	Main	$75,$AD02
PaintRoundRect	Main	$75,$AD06
EraseRoundRect	Main	$75,$AD0A
InverRoundRect	Main	$75,$AD0E
FillRoundRect	Main	$75,$AD12
StdOval		Main	$75,$AD4C
FrameOval 	Main	$75,$ADD4
PaintOval 	Main	$75,$ADD8
EraseOval 	Main	$75,$ADDC
InvertOval	Main	$75,$ADE0
FillOval		Main	$75,$ADE4
StdArc		Main	$75,$AF58
FrameArc		Main	$75,$AFD6
PaintArc		Main	$75,$AFDA
EraseArc		Main	$75,$AFDE
InvertArc 	Main	$75,$AFE2
FillArc		Main	$75,$AFE6
AngleFromSlope	Main	$75,$B790
SlopeFromAngle	Main	$75,$B7CE
PtToAngle 	Main	$75,$B8F2
StdPoly		Main	$75,$B982
FramePoly 	Main	$75,$B9F8
PaintPoly 	Main	$75,$B9FC
ErasePoly 	Main	$75,$BA00
InvertPoly	Main	$75,$BA04
FillPoly		Main	$75,$BA08
OpenPoly		Main	$75,$BA3E
ClosePoly 	Main	$75,$BA72
KillPoly		Main	$75,$BAE0
OffsetPoly	Main	$75,$BAE8
MapPoly		Main	$75,$BB04
StdRgn		Main	$75,$BBF6
FrameRgn		Main	$75,$BC5C
PaintRgn		Main	$75,$BC60
EraseRgn		Main	$75,$BC64
InverRgn		Main	$75,$BC68
FillRgn		Main	$75,$BC6C
NewRgn		Main	$75,$BD4E
DisposRgn 	Main	$75,$BD72
OpenRgn		Main	$75,$BD7A
CloseRgn		Main	$75,$BDA8
CopyRgn		Main	$75,$BDFE
SetEmptyRgn	Main	$75,$BE4C
SetRecRgn 	Main	$75,$BE58
RectRgn		Main	$75,$BEB4
OfsetRgn		Main	$75,$BEC2
InsetRgn		Main	$75,$BEF4
EmptyRgn		Main	$75,$BF90
EqualRgn		Main	$75,$BFA0
SectRgn		Main	$75,$BFDE
UnionRgn		Main	$75,$BFE2
DiffRgn		Main	$75,$BFE6
XorRgn		Main	$75,$BFEA
PtInRgn		Main	$75,$C0D4
RectInRgn 	Main	$75,$C134
MapRgn		Main	$75,$C218
StdBits		Main	$75,$C8CC
CopyBits		Main	$75,$CA4A
CopyMask		Main	$75,$CAF0
SeedFill		Main	$75,$CD30
CalcMask		Main	$75,$CD38
ScrollRect	Main	$75,$CE8E
PackBits		Main	$75,$CF8C
UnpackBits	Main	$75,$D01C
StdComment	Main	$75,$D8D0
StdGetPic 	Main	$75,$D930
StdPutPic 	Main	$75,$D956
PicComment	Main	$75,$D9D6
OpenPicture	Main	$75,$D9EC
ClosePicture	Main	$75,$DAA8
KillPicture	Main	$75,$DAE4
DrawPicture	Main	$75,$DAEC
ScalePt		Main	$75,$E512
MapPt		Main	$75,$E56A
MapRect		Main	$75,$E5CC
InitFonts 	Main	$75,$E5E4
GetFNum		Main	$75,$F166
SetFontLock	Main	$75,$F1D8
RealFont		Main	$75,$F20E
SetFScaleDisabl	Main	$75,$F260
FontMetrics	Main	$75,$F274
UnloadSeg 	Main	$75,$F4E0
Chain		Main	$75,$F556
Launch		Main	$75,$F55C
ExitToShell	Main	$75,$F6D8
GetAppParms	Main	$75,$F710
Trap0_37		Main	$75,$F790 	#
WriteParam	Main	$75,$F7AA
ReadDateTime	Main	$75,$F7CA
SetDateTime	Main	$75,$F7D4
Delay		Main	$75,$F7DC
CmpString 	Main	$75,$F7EE
UprString 	Main	$75,$F878
Trap1_54		Main	$75,$F878 	#
InitUtil		Main	$75,$FCC2
ReadXPRam 	Main	$75,$FE18
WriteXPRam	Main	$75,$FE22
SetAppBase	Main	$75,$FE76
GetZone		Main	$75,$FFA4
Trap1_1A		Main	$75,$FFA4 	#
Trap1_1B		Main	$75,$FFAA 	#
SetZone		Main	$75,$FFAA
CompactMem	Main	$75,$FFBE
Trap1_4C		Main	$75,$FFBE 	#
PurgeMem		Main	$75,$FFEE
PurgeSpace	Main	$75,$1000A
FreeMem		Main	$75,$10014
Trap1_1D		Main	$75,$1003C	#
MaxMem		Main	$75,$1003C
SetGrowZone	Main	$75,$10070
SetApplLimit	Main	$75,$1007A
StackSpace	Main	$75,$1009E
MaxApplZone	Main	$75,$100AE
Trap1_1E		Main	$75,$100D6	#
DisposPtr 	Main	$75,$100F2
GetPtrSize	Main	$75,$10108
PtrZone		Main	$75,$1011C
NewEmptyHandle	Main	$75,$1013A
Trap1_22		Main	$75,$1014E	#
Trap1_23		Main	$75,$10170	#
Trap1_25		Main	$75,$10190	#
GetHandleSize	Main	$75,$10190
Trap1_24		Main	$75,$1019C	#
EmptyHandle	Main	$75,$101DC
Trap1_29		Main	$75,$10230	#
Trap1_2A		Main	$75,$1023A	#
HUnlock		Main	$75,$1023A
HPurge		Main	$75,$10244
HNoPurge		Main	$75,$1024E
MoreMasters	Main	$75,$10274
DerefHandle	Main	$75,$1045E	E
MMHPrologue	Main	$75,$104C6	E
PurgeHeap 	Main	$75,$10570	E
BFindS		Main	$75,$106A2	E
CompactHp 	Main	$75,$107B2	E
BlockMove 	Main	$75,$10CC0
GetKeys		Main	$75,$10F30
Button		Main	$75,$10F4C
TickCount 	Main	$75,$10F5E
GetMouse		Main	$75,$10FA0
StillDown 	Main	$75,$10FB6
WaitMouseUp	Main	$75,$10FDE
EventAvail	Main	$75,$10FFC
GetNextEvent	Main	$75,$11000
NewString 	Main	$75,$111AC
SetString 	Main	$75,$111C4
CalcVis		Main	$75,$11238
CalcVBehind	Main	$75,$11290
ClipAbove 	Main	$75,$112D4
PaintOne		Main	$75,$112F8
PaintBehind	Main	$75,$113A2
SaveOld		Main	$75,$1140E
DrawNew		Main	$75,$1143C
ShowHide		Main	$75,$1149C
GetWMgrPort	Main	$75,$114DE
CheckUpdate	Main	$75,$114E8
InitWindows	Main	$75,$1157C
NewWindow 	Main	$75,$11642
CloseWindow	Main	$75,$11776
DisposWindow	Main	$75,$11804
ShowWindow	Main	$75,$11812
HideWindow	Main	$75,$1183A
GetWRefCon	Main	$75,$11864
SetWRefCon	Main	$75,$11872
SetWindowPic	Main	$75,$11882
GetWindowPic	Main	$75,$11888
GetWTitle 	Main	$75,$1188E
SetWTitle 	Main	$75,$118A6
DeltaPoint	Main	$75,$11924
MoveWindow	Main	$75,$11974
HiliteWindow	Main	$75,$11A84
SizeWindow	Main	$75,$11AC4
ZoomWindow	Main	$75,$11B18
TrackGoAway	Main	$75,$11B7E
TrackBox		Main	$75,$11B86
SelectWindow	Main	$75,$11BF4
BringToFront	Main	$75,$11C24
SendBehind	Main	$75,$11CC0
BeginUpdate	Main	$75,$11D16
EndUpdate 	Main	$75,$11D50
FrontWindow	Main	$75,$11D72
DragWindow	Main	$75,$11D9C
InvalRgn		Main	$75,$11F8E
InvalRect 	Main	$75,$11FCE
ValidRgn		Main	$75,$11FEC
ValidRect 	Main	$75,$11FF0
GrowWindow	Main	$75,$11FF4
FindWindow	Main	$75,$120F6
DrawGrowIcon	Main	$75,$1217A
InitMenus 	Main	$75,$12198
ClearMenuBar	Main	$75,$121FE
InsertMenu	Main	$75,$1220E
DeleteMenu	Main	$75,$122AE
DrawMenuBar	Main	$75,$12350
HiliteMenu	Main	$75,$123DA
EnableItem	Main	$75,$12404
DisableItem	Main	$75,$12420
MenuSelect	Main	$75,$1246E
GetMenuBar	Main	$75,$1279E
SetMenuBar	Main	$75,$127B2
DisposMenu	Main	$75,$127C2
FlashMenuBar	Main	$75,$127D8
GetItmIcon	Main	$75,$128AC
SetItmIcon	Main	$75,$128B0
GetItmStyle	Main	$75,$128B4
SetItmStyle	Main	$75,$128B8
GetItmMark	Main	$75,$128BC
SetItmMark	Main	$75,$128C0
CheckItem 	Main	$75,$128C4
MenuKey		Main	$75,$128E4
GetItem		Main	$75,$12960
CalcMenuSize	Main	$75,$12994
NewMenu		Main	$75,$129CA
AppendMenu	Main	$75,$12A1A
InsMenuItem	Main	$75,$12A22
GetMHandle	Main	$75,$12B7E
DelMenuItem	Main	$75,$12B9E
SetItem		Main	$75,$12BD0
SetMFlash 	Main	$75,$12C16
AddResMenu	Main	$75,$12C20
InsertResMenu	Main	$75,$12C28
CountMItems	Main	$75,$12CFC
PlotIcon		Main	$75,$12D18
NewControl	Main	$75,$12D54
DisposControl	Main	$75,$12E96
KillControls	Main	$75,$12EBA
Trap1_16D 	Main	$75,$12ECC	#
ShowControl	Main	$75,$12ED6
HideControl	Main	$75,$12EF4
MoveControl	Main	$75,$12F0E
GetCRefCon	Main	$75,$12F4C
SetCRefCon	Main	$75,$12F5A
GetCtlAction	Main	$75,$12F6A
SetCtlAction	Main	$75,$12F6E
SizeControl	Main	$75,$12F72
HiliteControl	Main	$75,$12F9A
GetCTitle 	Main	$75,$12FC6
SetCTitle 	Main	$75,$12FDE
GetCtlValue	Main	$75,$13020
GetMinCtl 	Main	$75,$1302E
GetMaxCtl 	Main	$75,$13032
SetCtlValue	Main	$75,$13036
SetMinCtl 	Main	$75,$13078
SetMaxCtl 	Main	$75,$1307C
TestControl	Main	$75,$13080
DragControl	Main	$75,$130AE
TrackControl	Main	$75,$13160
UpdtControls	Main	$75,$1324E
DrawControls	Main	$75,$1325E
FindControl	Main	$75,$132E6
InitResources	Main	$75,$13376
RsrcZoneInit	Main	$75,$13708
CreateResFile	Main	$75,$137A6
OpenRFPerm	Main	$75,$1381A
UseResFile	Main	$75,$1382E
GetResFileAttrs	Main	$75,$13838
SetResFileAttrs	Main	$75,$13844
UpdateResFIle	Main	$75,$13910
CloseResFile	Main	$75,$13BD2
Count1Resources	Main	$75,$13C76
CountResources	Main	$75,$13C7A
Get1IxResource	Main	$75,$13CA0
GetIndResource	Main	$75,$13CA4
Count1Types	Main	$75,$13D3C
CountTypes	Main	$75,$13D40
Get1IxType	Main	$75,$13D86
GetIndType	Main	$75,$13D8A
Unique1ID 	Main	$75,$13DAC
UniqueID		Main	$75,$13DB0
Get1Resource	Main	$75,$13DEA
Get1NamedResour	Main	$75,$13E2E
GetNamedResource	Main	$75,$13E32
LoadResource	Main	$75,$143CC
ReleaseResource	Main	$75,$1440A
DetachResource	Main	$75,$14434
ChangedResource	Main	$75,$1444C
WriteResource	Main	$75,$14482
HomeResFile	Main	$75,$144BC
SetResPurge	Main	$75,$144E4
SetResLoad	Main	$75,$14504
CurResFile	Main	$75,$1450E
ResError		Main	$75,$14516
Trap1_1AC 	Main	$75,$1451E	#
Trap1_1AE 	Main	$75,$1452E	#
GetResAttrs	Main	$75,$14538
SetResAttrs	Main	$75,$1454C
GetResInfo	Main	$75,$1457E
SetResInfo	Main	$75,$145C4
AddResource	Main	$75,$1460E
RmveResource	Main	$75,$146E8
SizeRsrc		Main	$75,$14864
MaxSizeRsrc	Main	$75,$14886
Trap1_1C5 	Main	$75,$1489A	#
InitDialogs	Main	$75,$148B2
StopAlert 	Main	$75,$14968
NoteAlert 	Main	$75,$1496C
CautionAlert	Main	$75,$14970
Alert		Main	$75,$14974
GetNewDialog	Main	$75,$14A90
NewDialog 	Main	$75,$14AC8
IsDialogEvent	Main	$75,$14B60
DialogSelect	Main	$75,$14B9A
ModalDialog	Main	$75,$14BDA
DrawDialog	Main	$75,$14C68
UpdtDialog	Main	$75,$14C80
CloseDialog	Main	$75,$14C9E
DisposDialog	Main	$75,$14D24
CouldDialog	Main	$75,$14D5A
CouldAlert	Main	$75,$14D68
FreeDialog	Main	$75,$14DB4
FreeAlert 	Main	$75,$14DC2
ParamText 	Main	$75,$14E0E
ErrorSound	Main	$75,$14E32
GetDItem		Main	$75,$14E3A
SetDItem		Main	$75,$14E80
GetIText		Main	$75,$14EB6
SetIText		Main	$75,$14ED6
SelIText		Main	$75,$14F38
HideDItem 	Main	$75,$14F92
ShowDItem 	Main	$75,$14FF0
FindDItem 	Main	$75,$15064
Munger		Main	$75,$15588
XMunger		Main	$75,$155B6
HandToHand	Main	$75,$156EC
PtrToXHand	Main	$75,$1570A
PtrToHand 	Main	$75,$15712
HandAndHand	Main	$75,$1572C
PtrAndHand	Main	$75,$15750
MethodDispatch	Main	$75,$15760
LongMul		Main	$75,$157B2
FracMul		Main	$75,$157DE
FixMul		Main	$75,$157E6
FracDiv		Main	$75,$158B0
FixDiv		Main	$75,$158B6
FracSqrt		Main	$75,$15900
LoWord		Main	$75,$15974
HiWord		Main	$75,$1597C
FixRound		Main	$75,$15986
FracCos		Main	$75,$159A6
FracSin		Main	$75,$159AE
FixATan2		Main	$75,$15A56
Fix2X		Main	$75,$15B18
Frac2X		Main	$75,$15B1E
X2Fix		Main	$75,$15B4A
X2Frac		Main	$75,$15B50
Fix2Long		Main	$75,$15BAC
Frac2Fix		Main	$75,$15BB0
Long2Fix		Main	$75,$15BCC
Fix2Frac		Main	$75,$15BD0
SystemClick	Main	$75,$15CA0
SystemTask	Main	$75,$15D72
SystemMenu	Main	$75,$15DEE
SysEdit		Main	$75,$15E36
OpenDeskAcc	Main	$75,$15E64
CloseDeskAcc	Main	$75,$15EB2
GetPattern	Main	$75,$15ECC
GetCursor 	Main	$75,$15EE6
GetString 	Main	$75,$15EEE
GetIcon		Main	$75,$15EF6
GetPicture	Main	$75,$15EFE
GetNewWindow	Main	$75,$15F06
GetNewControl	Main	$75,$15F5C
GetRMenu		Main	$75,$15FAC
GetNewMBar	Main	$75,$1602A
TEGetText 	Main	$75,$1608E
TEInit		Main	$75,$1609A
TEDispose 	Main	$75,$160C0
TextBox		Main	$75,$160DE
TESetText 	Main	$75,$161BC
TECalText 	Main	$75,$16200
TESetSelect	Main	$75,$1623A
TENew		Main	$75,$16266
TEUpdate		Main	$75,$162E0
TEClick		Main	$75,$1630E
TECopy		Main	$75,$167AE
TECut		Main	$75,$167D4
TEDelete		Main	$75,$167E2
TEActivate	Main	$75,$16A62
TEDeactivate	Main	$75,$16A84
TEIdle		Main	$75,$16A9A
TEPaste		Main	$75,$16AC2
TEInsert		Main	$75,$16B80
TESetJust 	Main	$75,$16BEC
TEScroll		Main	$75,$16C12
TEPinScroll	Main	$75,$16C54
TESelView 	Main	$75,$16CC0
TEAutoView	Main	$75,$16D2C
InfoScrap 	Main	$75,$16DAC
UnloadScrap	Main	$75,$16E26
LodeScrap 	Main	$75,$16E5A
ZeroScrap 	Main	$75,$16E8E
GetScrap		Main	$75,$16EDA
PutScrap		Main	$75,$16F4A
InitPack		Main	$75,$16F90
InitAllPacks	Main	$75,$16FB2
Pack0		Main	$75,$17032
Pack1		Main	$75,$17034
Pack2		Main	$75,$17036
Pack3		Main	$75,$17038
Pack4		Main	$75,$1703A
Pack5		Main	$75,$1703C
Pack6		Main	$75,$1703E
Pack7		Main	$75,$17040
Pack8		Main	$75,$17042
Pack9		Main	$75,$17044
Pack10		Main	$75,$17046
Pack11		Main	$75,$17048
Pack12		Main	$75,$1704A
Pack13		Main	$75,$1704C
Pack14		Main	$75,$1704E
Pack15		Main	$75,$17050
Secs2Date 	Main	$75,$17052
Date2Secs 	Main	$75,$170CA
InsTime		Main	$75,$175D2
RmvTime		Main	$75,$175E0
PrimeTime 	Main	$75,$175FA
_DRVR_2_.Print	Main	$75,$1784C	R
_DRVR_3_.Sound	Main	$75,$179C0	R
_DRVR_4_.Sony	Main	$75,$17D30	R
_DRVR_10_.ATP	Main	$75,$19DA0	R
_DRVR_9_.MPP	Main	$75,$1A6FA	R
_SERD_0_		Main	$75,$1B6D0	R
_MDEF_0_		Main	$75,$1BF40	R
_WDEF_0_		Main	$75,$1C346	R
_PACK_7_		Main	$75,$1C9E0	R
_PACK_5_		Main	$75,$1CF2E	R
_PACK_4_		Main	$75,$1DF94	R
_CURS_2_		Main	$75,$1F154	R
_CURS_3_		Main	$75,$1F1A0	R
_CURS_1_		Main	$75,$1F1EC	R
_CURS_4_		Main	$75,$1F238	R
_FONT_0_Chicago	Main	$75,$1F284	R
_FONT_12_ 	Main	$75,$1F28C	R
 size ROMPlus 1FFFF
